Timestamp,LatencyMs,Type
1764185722.155516,0.049829,Range
1764185722.155523,0.036001,Range
1764185722.155528,0.036955,Value
1764185722.160524,0.102520,Value
1764185722.160528,0.088215,Value
1764185722.160537,0.070333,Range
1764185722.160550,0.050545,Range
1764185722.160563,0.043631,Range
1764185722.165568,0.122786,Range
1764185722.165577,0.095844,Range
1764185722.165581,0.073671,Value
1764185722.165610,0.070572,Range
1764185722.165614,0.071526,Value
1764185722.170524,0.069857,Range
1764185722.170529,0.058413,Value
1764185722.170539,0.059366,Range
1764185722.170542,0.044584,Value
1764185722.170546,0.036716,Value
1764185722.175558,0.091314,Value
1764185722.175595,0.101566,Range
1764185722.175614,0.106573,Range
1764185722.175618,0.089169,Value
1764185722.175634,0.081778,Range
1764185722.180545,0.068426,Value
1764185722.180588,0.092745,Range
1764185722.180592,0.091791,Value
1764185722.180628,0.104189,Range
1764185722.180632,0.090599,Value
1764185722.185576,0.094891,Value
1764185722.185587,0.076294,Range
1764185722.185597,0.050783,Range
1764185722.185609,0.045776,Range
1764185722.185614,0.041485,Value
1764185722.190539,0.044823,Value
1764185722.190544,0.039816,Value
1764185722.190547,0.035286,Value
1764185722.190559,0.027657,Range
1764185722.190563,0.027180,Value
1764185722.195613,0.086546,Range
1764185722.195619,0.072241,Value
1764185722.195626,0.057936,Range
1764185722.195630,0.058174,Value
1764185722.195634,0.045300,Value
1764185722.200604,0.093222,Value
1764185722.200613,0.076532,Range
1764185722.200624,0.063896,Range
1764185722.200627,0.057697,Value
1764185722.200639,0.039101,Range
1764185722.205646,0.093222,Range
1764185722.205652,0.079870,Value
1764185722.205663,0.072718,Range
1764185722.205667,0.062704,Value
1764185722.205678,0.060081,Range
1764185722.210685,0.119209,Range
1764185722.210700,0.110149,Range
1764185722.210710,0.092745,Range
1764185722.210726,0.077963,Range
1764185722.210731,0.065804,Value
1764185722.215588,0.041723,Value
1764185722.215592,0.039816,Value
1764185722.215595,0.033855,Value
1764185722.215623,0.053167,Range
1764185722.215629,0.044346,Value
1764185722.220672,0.105858,Range
1764185722.220677,0.095129,Value
1764185722.220681,0.085592,Value
1764185722.220693,0.087976,Range
1764185722.220700,0.064373,Range
1764185722.225671,0.072479,Range
1764185722.225677,0.065327,Value
1764185722.225679,0.049829,Value
1764185722.225682,0.044823,Value
1764185722.225686,0.036716,Value
1764185722.230671,0.078678,Value
1764185722.230679,0.046968,Range
1764185722.230687,0.037909,Range
1764185722.230691,0.037432,Value
1764185722.230695,0.027657,Value
1764185722.235688,0.074863,Range
1764185722.235692,0.072956,Value
1764185722.235698,0.041723,Range
1764185722.235702,0.034809,Value
1764185722.235705,0.028133,Value
1764185722.240675,0.072241,Value
1764185722.240703,0.065565,Range
1764185722.240707,0.066042,Value
1764185722.240710,0.058889,Value
1764185722.240717,0.044584,Range
1764185722.245682,0.049353,Range
