Timestamp,LatencyMs,Type
1764185886.730154,0.071764,Value
1764185886.730163,0.066280,Range
1764185886.730175,0.056744,Range
1764185886.730180,0.047922,Value
1764185886.730188,0.037670,Range
1764185886.735140,0.050783,Value
1764185886.735146,0.038147,Range
1764185886.735150,0.036478,Value
1764185886.735152,0.030518,Value
1764185886.735156,0.018120,Range
1764185886.740205,0.084400,Range
1764185886.740210,0.076771,Value
1764185886.740214,0.063658,Value
1764185886.740223,0.051260,Range
1764185886.740227,0.040531,Value
1764185886.745197,0.083447,Range
1764185886.745201,0.061274,Value
1764185886.745204,0.044107,Value
1764185886.745219,0.038624,Range
1764185886.745226,0.034809,Range
1764185886.750204,0.058651,Range
1764185886.750210,0.046492,Value
1764185886.750213,0.041485,Value
1764185886.750216,0.038385,Value
1764185886.750218,0.024319,Value
1764185886.755237,0.083923,Range
1764185886.755242,0.075817,Value
1764185886.755258,0.057936,Range
1764185886.755260,0.051737,Value
1764185886.755268,0.046968,Range
1764185886.760223,0.060320,Range
1764185886.760227,0.054598,Value
1764185886.760246,0.062704,Range
1764185886.760257,0.050545,Range
1764185886.760260,0.045300,Value
1764185886.765233,0.067472,Value
1764185886.765247,0.048637,Range
1764185886.765250,0.045061,Value
1764185886.765257,0.034094,Range
1764185886.765260,0.031948,Value
1764185886.770221,0.054598,Value
1764185886.770223,0.041008,Value
1764185886.770289,0.094414,Range
1764185886.770305,0.100136,Range
1764185886.770308,0.091553,Value
1764185886.775235,0.060081,Value
1764185886.775242,0.058651,Value
1764185886.775244,0.045776,Value
1764185886.775274,0.055552,Range
1764185886.775278,0.046968,Value
1764185886.780244,0.047207,Value
1764185886.780250,0.035524,Range
1764185886.780253,0.031710,Value
1764185886.780256,0.024080,Value
1764185886.780259,0.017166,Value
1764185886.785275,0.066042,Range
1764185886.785291,0.059605,Range
1764185886.785372,0.121832,Range
1764185886.785381,0.124931,Range
1764185886.785385,0.125408,Value
1764185886.790275,0.063181,Value
1764185886.790278,0.056505,Value
1764185886.790293,0.050068,Range
